-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Model Filename                                                      Arch    Output Stems (SDR)                                            Friendly Name
UVR-MDX-NET_Inst_187_beta.onnx                                      MDX     instrumental* (14.3), vocals (8.5)                            MDX-Net Model VIP: UVR-MDX-NET_Inst_187_beta
UVR-MDX-NET-Inst_full_292.onnx                                      MDX     instrumental* (15.1), vocals (8.5)                            MDX-Net Model VIP: UVR-MDX-NET-Inst_full_292
htdemucs_ft.yaml                                                    Demucs  vocals (10.8), drums (10.0), bass (12.0), other               Demucs v4: htdemucs_ft
htdemucs.yaml                                                       Demucs  vocals (9.9), drums (9.4), bass (11.6), other                 Demucs v4: htdemucs
hdemucs_mmi.yaml                                                    Demucs  vocals (10.2), drums (9.6), bass (12.2), other                Demucs v4: hdemucs_mmi
htdemucs_6s.yaml                                                    Demucs  vocals (9.6), drums (8.5), bass (10.1), guitar, piano, other  Demucs v4: htdemucs_6s
MDX23C-8KFFT-InstVoc_HQ.ckpt                                        MDXC    vocals (10.6), instrumental (15.8)                            MDX23C Model: MDX23C-InstVoc HQ
MDX23C_D1581.ckpt                                                   MDXC    vocals (10.0), instrumental (15.5)                            MDX23C Model VIP: MDX23C_D1581
MDX23C-8KFFT-InstVoc_HQ_2.ckpt                                      MDXC    vocals (10.5), instrumental (15.9)                            MDX23C Model VIP: MDX23C-InstVoc HQ 2
model_bs_roformer_ep_317_sdr_12.9755.ckpt                           MDXC    vocals* (11.8), instrumental (16.5)                           Roformer Model: BS-Roformer-Viperx-1297
model_bs_roformer_ep_368_sdr_12.9628.ckpt                           MDXC    vocals* (12.1), instrumental (16.3)                           Roformer Model: BS-Roformer-Viperx-1296
model_bs_roformer_ep_937_sdr_10.5309.ckpt                           MDXC    no drum-bass*, drum-bass                                      Roformer Model: BS-Roformer-Viperx-1053
model_mel_band_roformer_ep_3005_sdr_11.4360.ckpt                    MDXC    vocals* (10.5), instrumental (15.1)                           Roformer Model: Mel-Roformer-Viperx-1143
melband_roformer_inst_v1.ckpt                                       MDXC    instrumental* (15.9), vocals (9.8)                            Roformer Model: MelBand Roformer Kim | Inst V1 by Unwa
melband_roformer_inst_v2.ckpt                                       MDXC    instrumental* (16.1), vocals (10.3)                           Roformer Model: MelBand Roformer Kim | Inst V2 by Unwa
melband_roformer_instvoc_duality_v1.ckpt                            MDXC    vocals (11.0), instrumental (16.1)                            Roformer Model: MelBand Roformer Kim | InstVoc Duality V1 by Unwa
melband_roformer_instvox_duality_v2.ckpt                            MDXC    vocals (11.0), instrumental (16.1)                            Roformer Model: MelBand Roformer Kim | InstVoc Duality V2 by Unwa
MDX23C-De-Reverb-aufr33-jarredou.ckpt                               MDXC    dry, no dry                                                   MDX23C Model: MDX23C De-Reverb by aufr33-jarredou
MDX23C-DrumSep-aufr33-jarredou.ckpt                                 MDXC    kick, snare, toms, hh, ride, crash                            MDX23C Model: MDX23C DrumSep by aufr33-jarredou
mel_band_roformer_karaoke_aufr33_viperx_sdr_10.1956.ckpt            MDXC    vocals* (8.4), instrumental (14.7)                            Roformer Model: Mel-Roformer-Karaoke-Aufr33-Viperx
mel_band_roformer_karaoke_gabox.ckpt                                MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Karaoke by Gabox
mel_band_roformer_karaoke_gabox_v2.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Karaoke V2 by Gabox
mel_band_roformer_karaoke_becruily.ckpt                             MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Karaoke by becruily
denoise_mel_band_roformer_aufr33_sdr_27.9959.ckpt                   MDXC    dry*, other                                                   Roformer Model: Mel-Roformer-Denoise-Aufr33
denoise_mel_band_roformer_aufr33_aggr_sdr_27.9768.ckpt              MDXC    dry*, other                                                   Roformer Model: Mel-Roformer-Denoise-Aufr33-Aggr
mel_band_roformer_denoise_debleed_gabox.ckpt                        MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Denoise-Debleed by Gabox
mel_band_roformer_crowd_aufr33_viperx_sdr_8.7144.ckpt               MDXC    crowd*, other                                                 Roformer Model: Mel-Roformer-Crowd-Aufr33-Viperx
deverb_bs_roformer_8_384dim_10depth.ckpt                            MDXC    noreverb*, reverb                                             Roformer Model: BS-Roformer-De-Reverb
vocals_mel_band_roformer.ckpt                                       MDXC    vocals* (12.6), other                                         Roformer Model: MelBand Roformer | Vocals by Kimberley Jensen
mel_band_roformer_kim_ft_unwa.ckpt                                  MDXC    vocals* (12.4), other                                         Roformer Model: MelBand Roformer Kim | FT by unwa
mel_band_roformer_kim_ft2_unwa.ckpt                                 MDXC    Unknown                                                       Roformer Model: MelBand Roformer Kim | FT 2 by unwa
mel_band_roformer_kim_ft2_bleedless_unwa.ckpt                       MDXC    Unknown                                                       Roformer Model: MelBand Roformer Kim | FT 2 Bleedless by unwa
mel_band_roformer_kim_ft3_unwa.ckpt                                 MDXC    Unknown                                                       Roformer Model: MelBand Roformer Kim | FT 3 by unwa
melband_roformer_inst_v1_plus.ckpt                                  MDXC    Unknown                                                       Roformer Model: MelBand Roformer Kim | Inst V1 Plus by Unwa
melband_roformer_inst_v1e.ckpt                                      MDXC    instrumental* (15.8), vocals (9.6)                            Roformer Model: MelBand Roformer Kim | Inst V1 (E) by Unwa
melband_roformer_inst_v1e_plus.ckpt                                 MDXC    Unknown                                                       Roformer Model: MelBand Roformer Kim | Inst V1 (E) Plus by Unwa
bs_roformer_vocals_revive_unwa.ckpt                                 MDXC    Unknown                                                       Roformer Model: BS Roformer | Vocals Revive by Unwa
